,app_id,ranking,lastWeek,gameName,score,googleUrl,developer,genre,price,date
0,314301,1,5,Monument Valley 2,92,https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley2,ustwo games,['Puzzle'],"6,000",2018-11-28 10:23:41
1,13918,2,2,Minecraft,84,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,Mojang,"['Arcade', 'Action & Adventure']","8,429",2018-11-28 10:23:41
2,541004,3,10,레이튼 교수와 이상한 마을 HD,93,https://play.google.com/store/apps/details?id=com.Level5.LT1RKR,LEVEL-5 Inc.,['Adventure'],"8,300",2018-11-28 10:23:41
3,144891,4,16,Dont Starve: Pocket Edition,84,https://play.google.com/store/apps/details?id=com.kleientertainment.doNotStarvePocket,Klei Entertainment Inc.,['Adventure'],"5,500",2018-11-28 10:23:41
4,3713,5,18,Monument Valley,95,https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley,ustwo games,['Puzzle'],"4,500",2018-11-28 10:23:41
5,565216,6,0,Kingdom Rush Vengeance,96,https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrush4,Ironhide Game Studio,['Strategy'],"6,000",2018-11-28 10:23:41
6,410272,7,13,던전메이커,91,https://play.google.com/store/apps/details?id=com.GameCoaster.DungeonMaker,GameCoaster,['Strategy'],"3,000",2018-11-28 10:23:41
7,13916,8,15,어메이징 스파이더맨 2,82,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftASHM,Gameloft,['Action'],"7,000",2018-11-28 10:23:41
8,13939,9,7,Geometry Dash,89,https://play.google.com/store/apps/details?id=com.robtopx.geometryjump,RobTop Games,['Arcade'],"2,100",2018-11-28 10:23:41
9,63077,10,297,XCOM : Enemy Within,83,https://play.google.com/store/apps/details?id=com.tt2kgames.xcomew,"2K, Inc.",['Strategy'],"12,000",2018-11-28 10:23:41
